2018-07-20,0.9287,0.9287,1.81%,开放申购,开放赎回
2018-07-23,0.9367,0.9367,0.86%,开放申购,开放赎回
2018-07-24,0.9509,0.9509,1.52%,开放申购,开放赎回
2018-07-25,0.9499,0.9499,-0.11%,开放申购,开放赎回
2018-07-26,0.9395,0.9395,-1.09%,开放申购,开放赎回
2018-07-27,0.9361,0.9361,-0.36%,开放申购,开放赎回
2018-07-30,0.9345,0.9345,-0.17%,开放申购,开放赎回
2018-07-31,0.9352,0.9352,0.07%,开放申购,开放赎回
2018-08-01,0.9176,0.9176,-1.88%,开放申购,开放赎回
2018-08-02,0.8988,0.8988,-2.05%,开放申购,开放赎回
2018-08-03,0.8847,0.8847,-1.57%,开放申购,开放赎回
2018-08-06,0.8741,0.8741,-1.20%,开放申购,开放赎回
2018-08-07,0.8981,0.8981,2.75%,开放申购,开放赎回
2018-08-08,0.8847,0.8847,-1.49%,开放申购,开放赎回
2018-08-09,0.9058,0.9058,2.39%,开放申购,开放赎回
2018-08-10,0.9077,0.9077,0.21%,开放申购,开放赎回
2018-08-13,0.9040,0.9040,-0.41%,开放申购,开放赎回
2018-08-14,0.8996,0.8996,-0.49%,开放申购,开放赎回
2018-08-15,0.8791,0.8791,-2.28%,开放申购,开放赎回
2018-08-16,0.8752,0.8752,-0.44%,开放申购,开放赎回
2018-08-17,0.8632,0.8632,-1.37%,开放申购,开放赎回
2018-08-20,0.8724,0.8724,1.07%,开放申购,开放赎回
2018-08-21,0.8874,0.8874,1.72%,开放申购,开放赎回
2018-08-22,0.8828,0.8828,-0.52%,开放申购,开放赎回
2018-08-23,0.8861,0.8861,0.37%,开放申购,开放赎回
2018-08-24,0.8877,0.8877,0.18%,开放申购,开放赎回
2018-08-27,0.9084,0.9084,2.33%,开放申购,开放赎回
2018-08-28,0.9068,0.9068,-0.18%,开放申购,开放赎回
2018-08-29,0.9031,0.9031,-0.41%,开放申购,开放赎回
2018-08-30,0.8943,0.8943,-0.97%,开放申购,开放赎回
2018-08-31,0.8902,0.8902,-0.46%,开放申购,开放赎回
2018-09-03,0.8871,0.8871,-0.35%,开放申购,开放赎回
2018-09-04,0.8975,0.8975,1.17%,开放申购,开放赎回
2018-09-05,0.8810,0.8810,-1.84%,开放申购,开放赎回
2018-09-06,0.8726,0.8726,-0.95%,开放申购,开放赎回
2018-09-07,0.8762,0.8762,0.41%,开放申购,开放赎回
2018-09-10,0.8641,0.8641,-1.38%,开放申购,开放赎回
2018-09-11,0.8624,0.8624,-0.20%,开放申购,开放赎回
2018-09-12,0.8571,0.8571,-0.61%,开放申购,开放赎回
2018-09-13,0.8656,0.8656,0.99%,开放申购,开放赎回
2018-09-14,0.8670,0.8670,0.16%,开放申购,开放赎回
2018-09-17,0.8576,0.8576,-1.08%,开放申购,开放赎回
2018-09-18,0.8738,0.8738,1.89%,开放申购,开放赎回
2018-09-19,0.8846,0.8846,1.24%,开放申购,开放赎回
2018-09-20,0.8840,0.8840,-0.07%,开放申购,开放赎回
2018-09-21,0.9093,0.9093,2.86%,开放申购,开放赎回
2018-09-25,0.9014,0.9014,-0.87%,开放申购,开放赎回
2018-09-26,0.9107,0.9107,1.03%,开放申购,开放赎回
2018-09-27,0.9072,0.9072,-0.38%,开放申购,开放赎回
2018-09-28,0.9160,0.9160,0.97%,开放申购,开放赎回
2018-10-08,0.8790,0.8790,-4.04%,开放申购,开放赎回
2018-10-09,0.8784,0.8784,-0.07%,开放申购,开放赎回
2018-10-10,0.8766,0.8766,-0.20%,开放申购,开放赎回
2018-10-11,0.8376,0.8376,-4.45%,开放申购,开放赎回
2018-10-12,0.8490,0.8490,1.36%,开放申购,开放赎回
2018-10-15,0.8379,0.8379,-1.31%,开放申购,开放赎回
2018-10-16,0.8314,0.8314,-0.78%,开放申购,开放赎回
2018-10-17,0.8358,0.8358,0.53%,开放申购,开放赎回
2018-10-18,0.8172,0.8172,-2.23%,开放申购,开放赎回
2018-10-19,0.8400,0.8400,2.79%,开放申购,开放赎回
2018-10-22,0.8740,0.8740,4.05%,开放申购,开放赎回
2018-10-23,0.8521,0.8521,-2.51%,开放申购,开放赎回
2018-10-24,0.8533,0.8533,0.14%,开放申购,开放赎回
2018-10-25,0.8549,0.8549,0.19%,开放申购,开放赎回
2018-10-26,0.8497,0.8497,-0.61%,开放申购,开放赎回
2018-10-29,0.8258,0.8258,-2.81%,开放申购,开放赎回
2018-10-30,0.8343,0.8343,1.03%,开放申购,开放赎回
2018-10-31,0.8452,0.8452,1.31%,开放申购,开放赎回
2018-11-01,0.8510,0.8510,0.69%,开放申购,开放赎回
2018-11-02,0.8795,0.8795,3.35%,开放申购,开放赎回
2018-11-05,0.8726,0.8726,-0.78%,开放申购,开放赎回
2018-11-06,0.8679,0.8679,-0.54%,开放申购,开放赎回
2018-11-07,0.8627,0.8627,-0.60%,开放申购,开放赎回
2018-11-08,0.8605,0.8605,-0.26%,开放申购,开放赎回
2018-11-09,0.8492,0.8492,-1.31%,开放申购,开放赎回
2018-11-12,0.8585,0.8585,1.10%,开放申购,开放赎回
2018-11-13,0.8666,0.8666,0.94%,开放申购,开放赎回
2018-11-14,0.8584,0.8584,-0.95%,开放申购,开放赎回
2018-11-15,0.8679,0.8679,1.11%,开放申购,开放赎回
2018-11-16,0.8718,0.8718,0.45%,开放申购,开放赎回
2018-11-19,0.8811,0.8811,1.07%,开放申购,开放赎回
2018-11-20,0.8618,0.8618,-2.19%,开放申购,开放赎回
2018-11-21,0.8638,0.8638,0.23%,开放申购,开放赎回
2018-11-22,0.8608,0.8608,-0.35%,开放申购,开放赎回
2018-11-23,0.8431,0.8431,-2.06%,开放申购,开放赎回
2018-11-26,0.8424,0.8424,-0.08%,开放申购,开放赎回
2018-11-27,0.8414,0.8414,-0.12%,开放申购,开放赎回
2018-11-28,0.8518,0.8518,1.24%,开放申购,开放赎回
2018-11-29,0.8415,0.8415,-1.21%,开放申购,开放赎回
2018-11-30,0.8502,0.8502,1.03%,开放申购,开放赎回
2018-12-03,0.8723,0.8723,2.60%,开放申购,开放赎回
2018-12-04,0.8739,0.8739,0.18%,开放申购,开放赎回
2018-12-05,0.8698,0.8698,-0.47%,开放申购,开放赎回
2018-12-06,0.8522,0.8522,-2.02%,开放申购,开放赎回
2018-12-07,0.8524,0.8524,0.02%,开放申购,开放赎回
2018-12-10,0.8434,0.8434,-1.06%,开放申购,开放赎回
2018-12-11,0.8471,0.8471,0.44%,开放申购,开放赎回
2018-12-12,0.8498,0.8498,0.32%,开放申购,开放赎回
2018-12-13,0.8624,0.8624,1.48%,开放申购,开放赎回
2018-12-14,0.8489,0.8489,-1.57%,开放申购,开放赎回
2018-12-17,0.8476,0.8476,-0.15%,开放申购,开放赎回
2018-12-18,0.8395,0.8395,-0.96%,开放申购,开放赎回
2018-12-19,0.8302,0.8302,-1.11%,开放申购,开放赎回
2018-12-20,0.8243,0.8243,-0.71%,开放申购,开放赎回
2018-12-21,0.8149,0.8149,-1.14%,开放申购,开放赎回
2018-12-24,0.8171,0.8171,0.27%,开放申购,开放赎回
2018-12-25,0.8118,0.8118,-0.65%,开放申购,开放赎回
2018-12-26,0.8080,0.8080,-0.47%,开放申购,开放赎回
2018-12-27,0.8050,0.8050,-0.37%,开放申购,开放赎回
2018-12-28,0.8101,0.8101,0.63%,开放申购,开放赎回
2018-12-31,0.8100,0.8100,0%,开放申购,开放赎回
2019-01-02,0.7997,0.7997,-1.28%,开放申购,开放赎回
2019-01-03,0.7985,0.7985,-0.15%,开放申购,开放赎回
2019-01-04,0.8163,0.8163,2.23%,开放申购,开放赎回
2019-01-07,0.8209,0.8209,0.56%,开放申购,开放赎回
2019-01-08,0.8192,0.8192,-0.21%,开放申购,开放赎回
2019-01-09,0.8273,0.8273,0.99%,开放申购,开放赎回
2019-01-10,0.8256,0.8256,-0.21%,开放申购,开放赎回
2019-01-11,0.8311,0.8311,0.67%,开放申购,开放赎回
2019-01-14,0.8242,0.8242,-0.83%,开放申购,开放赎回
2019-01-15,0.8394,0.8394,1.84%,开放申购,开放赎回
2019-01-16,0.8396,0.8396,0.02%,开放申购,开放赎回
2019-01-17,0.8352,0.8352,-0.52%,开放申购,开放赎回
2019-01-18,0.8495,0.8495,1.71%,开放申购,开放赎回
2019-01-21,0.8540,0.8540,0.53%,开放申购,开放赎回
2019-01-22,0.8433,0.8433,-1.25%,开放申购,开放赎回
2019-01-23,0.8428,0.8428,-0.06%,开放申购,开放赎回
2019-01-24,0.8473,0.8473,0.53%,开放申购,开放赎回
2019-01-25,0.8537,0.8537,0.76%,开放申购,开放赎回
2019-01-28,0.8536,0.8536,-0.01%,开放申购,开放赎回
2019-01-29,0.8562,0.8562,0.30%,开放申购,开放赎回
2019-01-30,0.8498,0.8498,-0.75%,开放申购,开放赎回
2019-01-31,0.8582,0.8582,0.99%,开放申购,开放赎回
2019-02-01,0.8695,0.8695,1.32%,开放申购,开放赎回
2019-02-11,0.8842,0.8842,1.69%,开放申购,开放赎回
2019-02-12,0.8901,0.8901,0.67%,开放申购,开放赎回
2019-02-13,0.9069,0.9069,1.89%,开放申购,开放赎回
2019-02-14,0.9082,0.9082,0.14%,开放申购,开放赎回
2019-02-15,0.8922,0.8922,-1.76%,开放申购,开放赎回
2019-02-18,0.9188,0.9188,2.98%,开放申购,开放赎回
2019-02-19,0.9172,0.9172,-0.17%,开放申购,开放赎回
2019-02-20,0.9202,0.9202,0.33%,开放申购,开放赎回
2019-02-21,0.9180,0.9180,-0.24%,开放申购,开放赎回
2019-02-22,0.9373,0.9373,2.10%,开放申购,开放赎回
2019-02-25,0.9903,0.9903,5.65%,开放申购,开放赎回
2019-02-26,0.9790,0.9790,-1.14%,开放申购,开放赎回
2019-02-27,0.9773,0.9773,-0.17%,开放申购,开放赎回
2019-02-28,0.9749,0.9749,-0.25%,开放申购,开放赎回
2019-03-01,0.9951,0.9951,2.07%,开放申购,开放赎回
2019-03-04,1.0062,1.0062,1.12%,开放申购,开放赎回
2019-03-05,1.0117,1.0117,0.55%,开放申购,开放赎回
2019-03-06,1.0200,1.0200,0.82%,开放申购,开放赎回
2019-03-07,1.0101,1.0101,-0.97%,开放申购,开放赎回
2019-03-08,0.9718,0.9718,-3.79%,开放申购,开放赎回
2019-03-11,0.9903,0.9903,1.90%,开放申购,开放赎回
2019-03-12,0.9967,0.9967,0.65%,开放申购,开放赎回
2019-03-13,0.9888,0.9888,-0.79%,开放申购,开放赎回
2019-03-14,0.9824,0.9824,-0.65%,开放申购,开放赎回
2019-03-15,0.9942,0.9942,1.20%,开放申购,开放赎回
2019-03-18,1.0211,1.0211,2.71%,开放申购,开放赎回
2019-03-19,1.0164,1.0164,-0.46%,开放申购,开放赎回
2019-03-20,1.0167,1.0167,0.03%,开放申购,开放赎回
2019-03-21,1.0171,1.0171,0.04%,开放申购,开放赎回
2019-03-22,1.0164,1.0164,-0.07%,开放申购,开放赎回
2019-03-25,0.9935,0.9935,-2.25%,开放申购,开放赎回
2019-03-26,0.9828,0.9828,-1.08%,开放申购,开放赎回
2019-03-27,0.9934,0.9934,1.08%,开放申购,开放赎回
2019-03-28,0.9898,0.9898,-0.36%,开放申购,开放赎回
2019-03-29,1.0259,1.0259,3.65%,开放申购,开放赎回
2019-04-01,1.0519,1.0519,2.53%,开放申购,开放赎回
2019-04-02,1.0512,1.0512,-0.07%,开放申购,开放赎回
2019-04-03,1.0641,1.0641,1.23%,开放申购,开放赎回
2019-04-04,1.0743,1.0743,0.96%,开放申购,开放赎回
2019-04-08,1.0733,1.0733,-0.09%,开放申购,开放赎回
2019-04-09,1.0779,1.0779,0.43%,开放申购,开放赎回
2019-04-10,1.0804,1.0804,0.23%,开放申购,开放赎回
2019-04-11,1.0584,1.0584,-2.04%,开放申购,开放赎回
2019-04-12,1.0561,1.0561,-0.22%,开放申购,开放赎回
2019-04-15,1.0528,1.0528,-0.31%,开放申购,开放赎回
2019-04-16,1.0802,1.0802,2.60%,开放申购,开放赎回
2019-04-17,1.0805,1.0805,0.03%,开放申购,开放赎回
2019-04-18,1.0767,1.0767,-0.35%,开放申购,开放赎回
2019-04-19,1.0889,1.0889,1.13%,开放申购,开放赎回
2019-04-22,1.0651,1.0651,-2.19%,开放申购,开放赎回
2019-04-23,1.0635,1.0635,-0.15%,开放申购,开放赎回
2019-04-24,1.0662,1.0662,0.25%,开放申购,开放赎回
2019-04-25,1.0441,1.0441,-2.07%,开放申购,开放赎回
2019-04-26,1.0310,1.0310,-1.25%,开放申购,开放赎回
2019-04-29,1.0338,1.0338,0.27%,开放申购,开放赎回
2019-04-30,1.0370,1.0370,0.31%,开放申购,开放赎回
2019-05-06,0.9799,0.9799,-5.51%,开放申购,开放赎回
2019-05-07,0.9890,0.9890,0.93%,开放申购,开放赎回
2019-05-08,0.9758,0.9758,-1.33%,开放申购,开放赎回
2019-05-09,0.9588,0.9588,-1.74%,开放申购,开放赎回
2019-05-10,0.9916,0.9916,3.42%,开放申购,开放赎回
2019-05-13,0.9761,0.9761,-1.56%,开放申购,开放赎回
2019-05-14,0.9704,0.9704,-0.58%,开放申购,开放赎回
2019-05-15,0.9911,0.9911,2.13%,开放申购,开放赎回
2019-05-16,0.9952,0.9952,0.41%,开放申购,开放赎回
2019-05-17,0.9711,0.9711,-2.42%,开放申购,开放赎回
2019-05-20,0.9633,0.9633,-0.80%,开放申购,开放赎回
2019-05-21,0.9757,0.9757,1.29%,开放申购,开放赎回
2019-05-22,0.9714,0.9714,-0.44%,开放申购,开放赎回
2019-05-23,0.9562,0.9562,-1.56%,开放申购,开放赎回
2019-05-24,0.9589,0.9589,0.28%,开放申购,开放赎回
2019-05-27,0.9702,0.9702,1.18%,开放申购,开放赎回
2019-05-28,0.9793,0.9793,0.94%,开放申购,开放赎回
2019-05-29,0.9774,0.9774,-0.19%,开放申购,开放赎回
2019-05-30,0.9722,0.9722,-0.53%,开放申购,开放赎回
2019-05-31,0.9699,0.9699,-0.24%,开放申购,开放赎回
2019-06-03,0.9709,0.9709,0.10%,开放申购,开放赎回
2019-06-04,0.9625,0.9625,-0.87%,开放申购,开放赎回
2019-06-05,0.9624,0.9624,-0.01%,开放申购,开放赎回
2019-06-06,0.9545,0.9545,-0.82%,开放申购,开放赎回
2019-06-10,0.9659,0.9659,1.19%,开放申购,开放赎回
2019-06-11,0.9943,0.9943,2.94%,开放申购,开放赎回
2019-06-12,0.9873,0.9873,-0.70%,开放申购,开放赎回
2019-06-13,0.9859,0.9859,-0.14%,开放申购,开放赎回
2019-06-14,0.9789,0.9789,-0.71%,开放申购,开放赎回
2019-06-17,0.9787,0.9787,-0.02%,开放申购,开放赎回
2019-06-18,0.9819,0.9819,0.33%,开放申购,开放赎回
2019-06-19,0.9958,0.9958,1.42%,开放申购,开放赎回
2019-06-20,1.0244,1.0244,2.87%,开放申购,开放赎回
2019-06-21,1.0258,1.0258,0.14%,开放申购,开放赎回
2019-06-24,1.0278,1.0278,0.20%,开放申购,开放赎回
2019-06-25,1.0177,1.0177,-0.98%,开放申购,开放赎回
2019-06-26,1.0163,1.0163,-0.14%,开放申购,开放赎回
2019-06-27,1.0270,1.0270,1.05%,开放申购,开放赎回
2019-06-28,1.0255,1.0255,-0.15%,开放申购,开放赎回
2019-06-30,1.0255,1.0255,0%,开放申购,开放赎回
2019-07-01,1.0533,1.0533,2.71%,开放申购,开放赎回
2019-07-02,1.0537,1.0537,0.04%,开放申购,开放赎回
2019-07-03,1.0431,1.0431,-1.01%,开放申购,开放赎回
2019-07-04,1.0380,1.0380,-0.49%,开放申购,开放赎回
2019-07-05,1.0434,1.0434,0.52%,开放申购,开放赎回
2019-07-08,1.0209,1.0209,-2.16%,开放申购,开放赎回
2019-07-09,1.0193,1.0193,-0.16%,开放申购,开放赎回
2019-07-10,1.0181,1.0181,-0.12%,开放申购,开放赎回
2019-07-11,1.0186,1.0186,0.05%,开放申购,开放赎回
2019-07-12,1.0261,1.0261,0.74%,开放申购,开放赎回
2019-07-15,1.0300,1.0300,0.38%,开放申购,开放赎回
2019-07-16,1.0257,1.0257,-0.42%,开放申购,开放赎回
2019-07-17,1.0253,1.0253,-0.04%,开放申购,开放赎回
2019-07-18,1.0165,1.0165,-0.86%,开放申购,开放赎回
2019-07-19,1.0268,1.0268,1.01%,开放申购,开放赎回
2019-07-22,1.0255,1.0255,-0.13%,开放申购,开放赎回
2019-07-23,1.0281,1.0281,0.25%,开放申购,开放赎回
2019-07-24,1.0358,1.0358,0.75%,开放申购,开放赎回
2019-07-25,1.0439,1.0439,0.78%,开放申购,开放赎回
2019-07-26,1.0459,1.0459,0.19%,开放申购,开放赎回
2019-07-29,1.0448,1.0448,-0.11%,开放申购,开放赎回
2019-07-30,1.0490,1.0490,0.40%,开放申购,开放赎回
2019-07-31,1.0403,1.0403,-0.83%,开放申购,开放赎回
2019-08-01,1.0321,1.0321,-0.79%,开放申购,开放赎回
2019-08-02,1.0182,1.0182,-1.35%,开放申购,开放赎回
2019-08-05,1.0000,1.0000,-1.79%,开放申购,开放赎回
2019-08-06,0.9908,0.9908,-0.92%,开放申购,开放赎回
2019-08-07,0.9869,0.9869,-0.39%,开放申购,开放赎回
2019-08-08,0.9996,0.9996,1.29%,开放申购,开放赎回
2019-08-09,0.9906,0.9906,-0.90%,开放申购,开放赎回
2019-08-12,1.0073,1.0073,1.69%,开放申购,开放赎回
2019-08-13,0.9989,0.9989,-0.83%,开放申购,开放赎回
2019-08-14,1.0031,1.0031,0.42%,开放申购,开放赎回
2019-08-15,1.0066,1.0066,0.35%,开放申购,开放赎回
2019-08-16,1.0110,1.0110,0.44%,开放申购,开放赎回
2019-08-19,1.0316,1.0316,2.04%,开放申购,开放赎回
2019-08-20,1.0307,1.0307,-0.09%,开放申购,开放赎回
2019-08-21,1.0292,1.0292,-0.15%,开放申购,开放赎回
2019-08-22,1.0322,1.0322,0.29%,开放申购,开放赎回
2019-08-23,1.0393,1.0393,0.69%,开放申购,开放赎回
2019-08-26,1.0249,1.0249,-1.39%,开放申购,开放赎回
2019-08-27,1.0382,1.0382,1.30%,开放申购,开放赎回
2019-08-28,1.0344,1.0344,-0.37%,开放申购,开放赎回
2019-08-29,1.0311,1.0311,-0.32%,开放申购,开放赎回
2019-08-30,1.0335,1.0335,0.23%,开放申购,开放赎回
2019-09-02,1.0461,1.0461,1.22%,开放申购,开放赎回
2019-09-03,1.0474,1.0474,0.12%,开放申购,开放赎回
2019-09-04,1.0565,1.0565,0.87%,开放申购,开放赎回
2019-09-05,1.0669,1.0669,0.98%,开放申购,开放赎回
2019-09-06,1.0729,1.0729,0.56%,开放申购,开放赎回
2019-09-09,1.0792,1.0792,0.59%,开放申购,开放赎回
2019-09-10,1.0757,1.0757,-0.32%,开放申购,开放赎回
2019-09-11,1.0681,1.0681,-0.71%,开放申购,开放赎回
2019-09-12,1.0790,1.0790,1.02%,开放申购,开放赎回
2019-09-16,1.0751,1.0751,-0.36%,开放申购,开放赎回
2019-09-17,1.0582,1.0582,-1.57%,开放申购,开放赎回
2019-09-18,1.0629,1.0629,0.44%,开放申购,开放赎回
2019-09-19,1.0666,1.0666,0.35%,开放申购,开放赎回
2019-09-20,1.0695,1.0695,0.27%,开放申购,开放赎回
2019-09-23,1.0579,1.0579,-1.08%,开放申购,开放赎回
2019-09-24,1.0606,1.0606,0.26%,开放申购,开放赎回
2019-09-25,1.0530,1.0530,-0.72%,开放申购,开放赎回
2019-09-26,1.0452,1.0452,-0.74%,开放申购,开放赎回
2019-09-27,1.0481,1.0481,0.28%,开放申购,开放赎回
2019-09-30,1.0384,1.0384,-0.93%,开放申购,开放赎回
2019-10-08,1.0441,1.0441,0.55%,开放申购,开放赎回
2019-10-09,1.0455,1.0455,0.13%,开放申购,开放赎回
2019-10-10,1.0536,1.0536,0.77%,开放申购,开放赎回
2019-10-11,1.0634,1.0634,0.93%,开放申购,开放赎回
2019-10-14,1.0740,1.0740,1.00%,开放申购,开放赎回
2019-10-15,1.0696,1.0696,-0.41%,开放申购,开放赎回
2019-10-16,1.0660,1.0660,-0.34%,开放申购,开放赎回
2019-10-17,1.0666,1.0666,0.06%,开放申购,开放赎回
2019-10-18,1.0522,1.0522,-1.35%,开放申购,开放赎回
2019-10-21,1.0550,1.0550,0.27%,开放申购,开放赎回
2019-10-22,1.0589,1.0589,0.37%,开放申购,开放赎回
2019-10-23,1.0525,1.0525,-0.60%,开放申购,开放赎回
2019-10-24,1.0524,1.0524,-0.01%,开放申购,开放赎回
2019-10-25,1.0592,1.0592,0.65%,开放申购,开放赎回
2019-10-28,1.0668,1.0668,0.72%,开放申购,开放赎回
2019-10-29,1.0626,1.0626,-0.39%,开放申购,开放赎回
2019-10-30,1.0576,1.0576,-0.47%,开放申购,开放赎回
2019-10-31,1.0565,1.0565,-0.10%,开放申购,开放赎回
2019-11-01,1.0735,1.0735,1.61%,开放申购,开放赎回
2019-11-04,1.0800,1.0800,0.61%,开放申购,开放赎回
2019-11-05,1.0864,1.0864,0.59%,开放申购,开放赎回
2019-11-06,1.0818,1.0818,-0.42%,开放申购,开放赎回
2019-11-07,1.0835,1.0835,0.16%,开放申购,开放赎回
2019-11-08,1.0787,1.0787,-0.44%,开放申购,开放赎回
2019-11-11,1.0608,1.0608,-1.66%,开放申购,开放赎回
2019-11-12,1.0609,1.0609,0.01%,开放申购,开放赎回
2019-11-13,1.0600,1.0600,-0.08%,开放申购,开放赎回
2019-11-14,1.0615,1.0615,0.14%,开放申购,开放赎回
2019-11-15,1.0541,1.0541,-0.70%,开放申购,开放赎回
2019-11-18,1.0623,1.0623,0.78%,开放申购,开放赎回
2019-11-19,1.0723,1.0723,0.94%,开放申购,开放赎回
2019-11-20,1.0623,1.0623,-0.93%,开放申购,开放赎回
2019-11-21,1.0576,1.0576,-0.44%,开放申购,开放赎回
2019-11-22,1.0472,1.0472,-0.98%,开放申购,开放赎回
2019-11-25,1.0543,1.0543,0.68%,开放申购,开放赎回
2019-11-26,1.0578,1.0578,0.33%,开放申购,开放赎回
2019-11-27,1.0536,1.0536,-0.40%,开放申购,开放赎回
2019-11-28,1.0502,1.0502,-0.32%,开放申购,开放赎回
2019-11-29,1.0416,1.0416,-0.82%,开放申购,开放赎回
2019-12-02,1.0433,1.0433,0.16%,开放申购,开放赎回
2019-12-03,1.0472,1.0472,0.37%,开放申购,开放赎回
2019-12-04,1.0464,1.0464,-0.08%,开放申购,开放赎回
2019-12-05,1.0540,1.0540,0.73%,开放申购,开放赎回
2019-12-06,1.0599,1.0599,0.56%,开放申购,开放赎回
2019-12-09,1.0581,1.0581,-0.17%,开放申购,开放赎回
2019-12-10,1.0596,1.0596,0.14%,开放申购,开放赎回
2019-12-11,1.0604,1.0604,0.08%,开放申购,开放赎回
2019-12-12,1.0572,1.0572,-0.30%,开放申购,开放赎回
2019-12-13,1.0769,1.0769,1.86%,开放申购,开放赎回
2019-12-16,1.0817,1.0817,0.45%,开放申购,开放赎回
2019-12-17,1.0956,1.0956,1.29%,开放申购,开放赎回
2019-12-18,1.0933,1.0933,-0.21%,开放申购,开放赎回
2019-12-19,1.0918,1.0918,-0.14%,开放申购,开放赎回
2019-12-20,1.0892,1.0892,-0.24%,开放申购,开放赎回
2019-12-23,1.0763,1.0763,-1.18%,开放申购,开放赎回
2019-12-24,1.0829,1.0829,0.61%,开放申购,开放赎回
2019-12-25,1.0823,1.0823,-0.06%,开放申购,开放赎回
2019-12-26,1.0901,1.0901,0.72%,开放申购,开放赎回
2019-12-27,1.0895,1.0895,-0.06%,开放申购,开放赎回
2019-12-30,1.1045,1.1045,1.38%,开放申购,开放赎回
2019-12-31,1.1066,1.1066,0.19%,开放申购,开放赎回
2020-01-02,1.1213,1.1213,1.33%,开放申购,开放赎回
