2016-08-18,1.0200,1.0200,0.00%,限制大额申购,开放赎回
2016-08-19,1.0200,1.0200,0.00%,限制大额申购,开放赎回
2016-08-22,1.0200,1.0200,0.00%,限制大额申购,开放赎回
2016-08-23,1.0200,1.0200,0.00%,限制大额申购,开放赎回
2016-08-24,1.0200,1.0200,0.00%,限制大额申购,开放赎回
2016-08-25,1.0190,1.0190,-0.10%,限制大额申购,开放赎回
2016-08-26,1.0190,1.0190,0.00%,限制大额申购,开放赎回
2016-08-29,1.0200,1.0200,0.10%,限制大额申购,开放赎回
2016-08-30,1.0210,1.0210,0.10%,限制大额申购,开放赎回
2016-08-31,1.0210,1.0210,0.00%,限制大额申购,开放赎回
2016-09-01,1.0210,1.0210,0.00%,限制大额申购,开放赎回
2016-09-02,1.0210,1.0210,0.00%,限制大额申购,开放赎回
2016-09-05,1.0220,1.0220,0.10%,限制大额申购,开放赎回
2016-09-06,1.0220,1.0220,0.00%,限制大额申购,开放赎回
2016-09-07,1.0220,1.0220,0.00%,限制大额申购,开放赎回
2016-09-08,1.0220,1.0220,0.00%,限制大额申购,开放赎回
2016-09-09,1.0220,1.0220,0.00%,限制大额申购,开放赎回
2016-09-12,1.0200,1.0200,-0.20%,限制大额申购,开放赎回
2016-09-13,1.0200,1.0200,0.00%,限制大额申购,开放赎回
2016-09-14,1.0200,1.0200,0.00%,限制大额申购,开放赎回
2016-09-19,1.0210,1.0210,0.10%,限制大额申购,开放赎回
2016-09-20,1.0210,1.0210,0.00%,限制大额申购,开放赎回
2016-09-21,1.0210,1.0210,0.00%,限制大额申购,开放赎回
2016-09-22,1.0220,1.0220,0.10%,限制大额申购,开放赎回
2016-09-23,1.0220,1.0220,0.00%,限制大额申购,开放赎回
2016-09-26,1.0210,1.0210,-0.10%,限制大额申购,开放赎回
2016-09-27,1.0220,1.0220,0.10%,限制大额申购,开放赎回
2016-09-28,1.0220,1.0220,0.00%,限制大额申购,开放赎回
2016-09-29,1.0230,1.0230,0.10%,限制大额申购,开放赎回
2016-09-30,1.0230,1.0230,0.00%,限制大额申购,开放赎回
2016-10-10,1.0260,1.0260,0.29%,限制大额申购,开放赎回
2016-10-11,1.0260,1.0260,0.00%,限制大额申购,开放赎回
2016-10-12,1.0250,1.0250,-0.10%,限制大额申购,开放赎回
2016-10-13,1.0260,1.0260,0.10%,限制大额申购,开放赎回
2016-10-14,1.0260,1.0260,0.00%,限制大额申购,开放赎回
2016-10-17,1.0250,1.0250,-0.10%,限制大额申购,开放赎回
2016-10-18,1.0260,1.0260,0.10%,限制大额申购,开放赎回
2016-10-19,1.0260,1.0260,0.00%,限制大额申购,开放赎回
2016-10-20,1.0270,1.0270,0.10%,限制大额申购,开放赎回
2016-10-21,1.0280,1.0280,0.10%,限制大额申购,开放赎回
2016-10-24,1.0290,1.0290,0.10%,限制大额申购,开放赎回
2016-10-25,1.0290,1.0290,0.00%,限制大额申购,开放赎回
2016-10-26,1.0280,1.0280,-0.10%,限制大额申购,开放赎回
2016-10-27,1.0270,1.0270,-0.10%,限制大额申购,开放赎回
2016-10-28,1.0270,1.0270,0.00%,限制大额申购,开放赎回
2016-10-31,1.0270,1.0270,0.00%,限制大额申购,开放赎回
2016-11-01,1.0270,1.0270,0.00%,限制大额申购,开放赎回
2016-11-02,1.0270,1.0270,0.00%,限制大额申购,开放赎回
2016-11-03,1.0280,1.0280,0.10%,限制大额申购,开放赎回
2016-11-04,1.0280,1.0280,0.00%,限制大额申购,开放赎回
2016-11-07,1.0280,1.0280,0.00%,限制大额申购,开放赎回
2016-11-08,1.0300,1.0300,0.19%,限制大额申购,开放赎回
2016-11-09,1.0280,1.0280,-0.19%,限制大额申购,开放赎回
2016-11-10,1.0300,1.0300,0.19%,限制大额申购,开放赎回
2016-11-11,1.0310,1.0310,0.10%,限制大额申购,开放赎回
2016-11-14,1.0310,1.0310,0.00%,限制大额申购,开放赎回
2016-11-15,1.0300,1.0300,-0.10%,限制大额申购,开放赎回
2016-11-16,1.0300,1.0300,0.00%,限制大额申购,开放赎回
2016-11-17,1.0290,1.0290,-0.10%,限制大额申购,开放赎回
2016-11-18,1.0280,1.0280,-0.10%,限制大额申购,开放赎回
2016-11-21,1.0290,1.0290,0.10%,限制大额申购,开放赎回
2016-11-22,1.0310,1.0310,0.19%,限制大额申购,开放赎回
2016-11-23,1.0310,1.0310,0.00%,限制大额申购,开放赎回
2016-11-24,1.0310,1.0310,0.00%,限制大额申购,开放赎回
2016-11-25,1.0330,1.0330,0.19%,限制大额申购,开放赎回
2016-11-28,1.0330,1.0330,0.00%,限制大额申购,开放赎回
2016-11-29,1.0340,1.0340,0.10%,限制大额申购,开放赎回
2016-11-30,1.0310,1.0310,-0.29%,限制大额申购,开放赎回
2016-12-01,1.0320,1.0320,0.10%,限制大额申购,开放赎回
2016-12-02,1.0310,1.0310,-0.10%,限制大额申购,开放赎回
2016-12-05,1.0290,1.0290,-0.19%,限制大额申购,开放赎回
2016-12-06,1.0280,1.0280,-0.10%,限制大额申购,开放赎回
2016-12-07,1.0290,1.0290,0.10%,限制大额申购,开放赎回
2016-12-08,1.0290,1.0290,0.00%,限制大额申购,开放赎回
2016-12-09,1.0290,1.0290,0.00%,限制大额申购,开放赎回
2016-12-12,1.0250,1.0250,-0.39%,限制大额申购,开放赎回
2016-12-13,1.0260,1.0260,0.10%,限制大额申购,开放赎回
2016-12-14,1.0240,1.0240,-0.19%,限制大额申购,开放赎回
2016-12-15,1.0190,1.0190,-0.49%,限制大额申购,开放赎回
2016-12-16,1.0190,1.0190,0.00%,限制大额申购,开放赎回
2016-12-19,1.0190,1.0190,0.00%,限制大额申购,开放赎回
2016-12-20,1.0170,1.0170,-0.20%,限制大额申购,开放赎回
2016-12-21,1.0200,1.0200,0.30%,限制大额申购,开放赎回
2016-12-22,1.0230,1.0230,0.29%,限制大额申购,开放赎回
2016-12-23,1.0230,1.0230,0.00%,限制大额申购,开放赎回
2016-12-26,1.0250,1.0250,0.20%,限制大额申购,开放赎回
2016-12-27,1.0250,1.0250,0.00%,限制大额申购,开放赎回
2016-12-28,1.0240,1.0240,-0.10%,限制大额申购,开放赎回
2016-12-29,1.0240,1.0240,0.00%,限制大额申购,开放赎回
2016-12-30,1.0250,1.0250,0.10%,限制大额申购,开放赎回
2016-12-31,1.0250,1.0250,0.00%,限制大额申购,开放赎回
2017-01-03,1.0270,1.0270,0.20%,限制大额申购,开放赎回
2017-01-04,1.0280,1.0280,0.10%,限制大额申购,开放赎回
2017-01-05,1.0290,1.0290,0.10%,限制大额申购,开放赎回
2017-01-06,1.0290,1.0290,0.00%,限制大额申购,开放赎回
2017-01-09,1.0300,1.0300,0.10%,限制大额申购,开放赎回
2017-01-10,1.0310,1.0310,0.10%,限制大额申购,开放赎回
2017-01-11,1.0300,1.0300,-0.10%,限制大额申购,开放赎回
2017-01-12,1.0300,1.0300,0.00%,限制大额申购,开放赎回
2017-01-13,1.0310,1.0310,0.10%,限制大额申购,开放赎回
2017-01-16,1.0310,1.0310,0.00%,限制大额申购,开放赎回
2017-01-17,1.0310,1.0310,0.00%,限制大额申购,开放赎回
2017-01-18,1.0320,1.0320,0.10%,限制大额申购,开放赎回
2017-01-19,1.0320,1.0320,0.00%,限制大额申购,开放赎回
2017-01-20,1.0330,1.0330,0.10%,限制大额申购,开放赎回
2017-01-23,1.0340,1.0340,0.10%,限制大额申购,开放赎回
2017-01-24,1.0360,1.0360,0.19%,限制大额申购,开放赎回
2017-01-25,1.0360,1.0360,0.00%,限制大额申购,开放赎回
2017-01-26,1.0360,1.0360,0.00%,限制大额申购,开放赎回
2017-02-03,1.0340,1.0340,-0.19%,限制大额申购,开放赎回
2017-02-06,1.0340,1.0340,0.00%,限制大额申购,开放赎回
2017-02-07,1.0330,1.0330,-0.10%,限制大额申购,开放赎回
2017-02-08,1.0340,1.0340,0.10%,限制大额申购,开放赎回
2017-02-09,1.0350,1.0350,0.10%,限制大额申购,开放赎回
2017-02-10,1.0370,1.0370,0.19%,限制大额申购,开放赎回
2017-02-13,1.0400,1.0400,0.29%,限制大额申购,开放赎回
2017-02-14,1.0390,1.0390,-0.10%,限制大额申购,开放赎回
2017-02-15,1.0390,1.0390,0.00%,限制大额申购,开放赎回
2017-02-16,1.0410,1.0410,0.19%,限制大额申购,开放赎回
2017-02-17,1.0390,1.0390,-0.19%,限制大额申购,开放赎回
2017-02-20,1.0430,1.0430,0.39%,限制大额申购,开放赎回
2017-02-21,1.0430,1.0430,0.00%,限制大额申购,开放赎回
2017-02-22,1.0430,1.0430,0.00%,限制大额申购,开放赎回
2017-02-23,1.0420,1.0420,-0.10%,限制大额申购,开放赎回
2017-02-24,1.0430,1.0430,0.10%,限制大额申购,开放赎回
2017-02-27,1.0410,1.0410,-0.19%,限制大额申购,开放赎回
2017-02-28,1.0420,1.0420,0.10%,限制大额申购,开放赎回
2017-03-01,1.0420,1.0420,0.00%,限制大额申购,开放赎回
2017-03-02,1.0400,1.0400,-0.19%,限制大额申购,开放赎回
2017-03-03,1.0410,1.0410,0.10%,限制大额申购,开放赎回
2017-03-06,1.0430,1.0430,0.19%,限制大额申购,开放赎回
2017-03-07,1.0430,1.0430,0.00%,限制大额申购,开放赎回
2017-03-08,1.0420,1.0420,-0.10%,限制大额申购,开放赎回
2017-03-09,1.0410,1.0410,-0.10%,限制大额申购,开放赎回
2017-03-10,1.0420,1.0420,0.10%,限制大额申购,开放赎回
2017-03-13,1.0440,1.0440,0.19%,限制大额申购,开放赎回
2017-03-14,1.0440,1.0440,0.00%,限制大额申购,开放赎回
2017-03-15,1.0440,1.0440,0.00%,限制大额申购,开放赎回
2017-03-16,1.0460,1.0460,0.19%,限制大额申购,开放赎回
2017-03-17,1.0430,1.0430,-0.29%,限制大额申购,开放赎回
2017-03-20,1.0430,1.0430,0.00%,限制大额申购,开放赎回
2017-03-21,1.0450,1.0450,0.19%,限制大额申购,开放赎回
2017-03-22,1.0430,1.0430,-0.19%,限制大额申购,开放赎回
2017-03-23,1.0450,1.0450,0.19%,限制大额申购,开放赎回
2017-03-24,1.0480,1.0480,0.29%,限制大额申购,开放赎回
2017-03-27,1.0480,1.0480,0.00%,限制大额申购,开放赎回
2017-03-28,1.0470,1.0470,-0.10%,限制大额申购,开放赎回
2017-03-29,1.0490,1.0490,0.19%,限制大额申购,开放赎回
2017-03-30,1.0480,1.0480,-0.10%,限制大额申购,开放赎回
2017-03-31,1.0490,1.0490,0.10%,限制大额申购,开放赎回
2017-04-05,1.0530,1.0530,0.38%,限制大额申购,开放赎回
2017-04-06,1.0540,1.0540,0.10%,限制大额申购,开放赎回
2017-04-07,1.0550,1.0550,0.09%,限制大额申购,开放赎回
2017-04-10,1.0540,1.0540,-0.09%,限制大额申购,开放赎回
2017-04-11,1.0570,1.0570,0.28%,限制大额申购,开放赎回
2017-04-12,1.0600,1.0600,0.28%,限制大额申购,开放赎回
2017-04-13,1.0610,1.0610,0.09%,限制大额申购,开放赎回
2017-04-14,1.0590,1.0590,-0.19%,限制大额申购,开放赎回
2017-04-17,1.0600,1.0600,0.09%,限制大额申购,开放赎回
2017-04-18,1.0580,1.0580,-0.19%,限制大额申购,开放赎回
2017-04-19,1.0580,1.0580,0.00%,限制大额申购,开放赎回
2017-04-20,1.0590,1.0590,0.09%,限制大额申购,开放赎回
2017-04-21,1.0600,1.0600,0.09%,限制大额申购,开放赎回
2017-04-24,1.0580,1.0580,-0.19%,限制大额申购,开放赎回
2017-04-25,1.0580,1.0580,0.00%,限制大额申购,开放赎回
2017-04-26,1.0610,1.0610,0.28%,限制大额申购,开放赎回
2017-04-27,1.0620,1.0620,0.09%,限制大额申购,开放赎回
2017-04-28,1.0610,1.0610,-0.09%,限制大额申购,开放赎回
2017-05-02,1.0610,1.0610,0.00%,限制大额申购,开放赎回
2017-05-03,1.0610,1.0610,0.00%,限制大额申购,开放赎回
2017-05-04,1.0590,1.0590,-0.19%,限制大额申购,开放赎回
2017-05-05,1.0560,1.0560,-0.28%,限制大额申购,开放赎回
2017-05-08,1.0530,1.0530,-0.28%,限制大额申购,开放赎回
2017-05-09,1.0530,1.0530,0.00%,限制大额申购,开放赎回
2017-05-10,1.0510,1.0510,-0.19%,限制大额申购,开放赎回
2017-05-11,1.0520,1.0520,0.10%,限制大额申购,开放赎回
2017-05-12,1.0530,1.0530,0.10%,限制大额申购,开放赎回
2017-05-15,1.0560,1.0560,0.28%,限制大额申购,开放赎回
2017-05-16,1.0580,1.0580,0.19%,限制大额申购,开放赎回
2017-05-17,1.0570,1.0570,-0.09%,限制大额申购,开放赎回
2017-05-18,1.0560,1.0560,-0.09%,限制大额申购,开放赎回
2017-05-19,1.0550,1.0550,-0.09%,限制大额申购,开放赎回
2017-05-22,1.0530,1.0530,-0.19%,限制大额申购,开放赎回
2017-05-23,1.0530,1.0530,0.00%,限制大额申购,开放赎回
2017-05-24,1.0540,1.0540,0.10%,限制大额申购,开放赎回
2017-05-25,1.0580,1.0580,0.38%,限制大额申购,开放赎回
2017-05-26,1.0580,1.0580,0.00%,限制大额申购,开放赎回
2017-05-31,1.0570,1.0570,-0.09%,限制大额申购,开放赎回
2017-06-01,1.0540,1.0540,-0.28%,限制大额申购,开放赎回
2017-06-02,1.0530,1.0530,-0.09%,限制大额申购,开放赎回
2017-06-05,1.0520,1.0520,-0.10%,限制大额申购,开放赎回
2017-06-06,1.0540,1.0540,0.19%,限制大额申购,开放赎回
2017-06-07,1.0570,1.0570,0.28%,限制大额申购,开放赎回
2017-06-08,1.0600,1.0600,0.28%,限制大额申购,开放赎回
2017-06-09,1.0610,1.0610,0.09%,限制大额申购,开放赎回
2017-06-12,1.0610,1.0610,0.00%,限制大额申购,开放赎回
2017-06-13,1.0610,1.0610,0.00%,限制大额申购,开放赎回
2017-06-14,1.0580,1.0580,-0.28%,限制大额申购,开放赎回
2017-06-15,1.0580,1.0580,0.00%,限制大额申购,开放赎回
2017-06-16,1.0580,1.0580,0.00%,限制大额申购,开放赎回
2017-06-19,1.0620,1.0620,0.38%,限制大额申购,开放赎回
2017-06-20,1.0620,1.0620,0.00%,限制大额申购,开放赎回
2017-06-21,1.0660,1.0660,0.38%,限制大额申购,开放赎回
2017-06-22,1.0650,1.0650,-0.09%,限制大额申购,开放赎回
2017-06-23,1.0680,1.0680,0.28%,限制大额申购,开放赎回
2017-06-26,1.0710,1.0710,0.28%,限制大额申购,开放赎回
2017-06-27,1.0730,1.0730,0.19%,限制大额申购,开放赎回
2017-06-28,1.0710,1.0710,-0.19%,限制大额申购,开放赎回
2017-06-29,1.0730,1.0730,0.19%,限制大额申购,开放赎回
2017-06-30,1.0720,1.0720,-0.09%,限制大额申购,开放赎回
2017-07-03,1.0690,1.0690,-0.28%,限制大额申购,开放赎回
2017-07-04,1.0660,1.0660,-0.28%,限制大额申购,开放赎回
2017-07-05,1.0710,1.0710,0.47%,限制大额申购,开放赎回
2017-07-06,1.0700,1.0700,-0.09%,限制大额申购,开放赎回
2017-07-07,1.0710,1.0710,0.09%,限制大额申购,开放赎回
2017-07-10,1.0680,1.0680,-0.28%,限制大额申购,开放赎回
2017-07-11,1.0710,1.0710,0.28%,限制大额申购,开放赎回
2017-07-12,1.0720,1.0720,0.09%,限制大额申购,开放赎回
2017-07-13,1.0750,1.0750,0.28%,限制大额申购,开放赎回
2017-07-14,1.0770,1.0770,0.19%,限制大额申购,开放赎回
2017-07-17,1.0730,1.0730,-0.37%,限制大额申购,开放赎回
2017-07-18,1.0710,1.0710,-0.19%,限制大额申购,开放赎回
2017-07-19,1.0760,1.0760,0.47%,限制大额申购,开放赎回
2017-07-20,1.0780,1.0780,0.19%,限制大额申购,开放赎回
2017-07-21,1.0760,1.0760,-0.19%,限制大额申购,开放赎回
2017-07-24,1.0780,1.0780,0.19%,限制大额申购,开放赎回
2017-07-25,1.0760,1.0760,-0.19%,限制大额申购,开放赎回
2017-07-26,1.0740,1.0740,-0.19%,限制大额申购,开放赎回
2017-07-27,1.0740,1.0740,0.00%,限制大额申购,开放赎回
2017-07-28,1.0760,1.0760,0.19%,限制大额申购,开放赎回
2017-07-31,1.0760,1.0760,0.00%,限制大额申购,开放赎回
2017-08-01,1.0780,1.0780,0.19%,限制大额申购,开放赎回
2017-08-02,1.0780,1.0780,0.00%,限制大额申购,开放赎回
2017-08-03,1.0750,1.0750,-0.28%,限制大额申购,开放赎回
2017-08-04,1.0750,1.0750,0.00%,限制大额申购,开放赎回
2017-08-07,1.0760,1.0760,0.09%,限制大额申购,开放赎回
2017-08-08,1.0770,1.0770,0.09%,限制大额申购,开放赎回
2017-08-09,1.0770,1.0770,0.00%,限制大额申购,开放赎回
2017-08-10,1.0760,1.0760,-0.09%,限制大额申购,开放赎回
2017-08-11,1.0720,1.0720,-0.37%,限制大额申购,开放赎回
2017-08-14,1.0750,1.0750,0.28%,限制大额申购,开放赎回
2017-08-15,1.0750,1.0750,0.00%,限制大额申购,开放赎回
2017-08-16,1.0750,1.0750,0.00%,限制大额申购,开放赎回
2017-08-17,1.0770,1.0770,0.19%,限制大额申购,开放赎回
2017-08-18,1.0770,1.0770,0.00%,限制大额申购,开放赎回
2017-08-21,1.0790,1.0790,0.19%,限制大额申购,开放赎回
2017-08-22,1.0800,1.0800,0.09%,限制大额申购,开放赎回
2017-08-23,1.0800,1.0800,0.00%,限制大额申购,开放赎回
2017-08-24,1.0800,1.0800,0.00%,限制大额申购,开放赎回
2017-08-25,1.0830,1.0830,0.28%,限制大额申购,开放赎回
2017-08-28,1.0880,1.0880,0.46%,限制大额申购,开放赎回
2017-08-29,1.0870,1.0870,-0.09%,限制大额申购,开放赎回
2017-08-30,1.0870,1.0870,0.00%,限制大额申购,开放赎回
2017-08-31,1.0870,1.0870,0.00%,限制大额申购,开放赎回
2017-09-01,1.0860,1.0860,-0.09%,限制大额申购,开放赎回
2017-09-04,1.0880,1.0880,0.18%,限制大额申购,开放赎回
2017-09-05,1.0890,1.0890,0.09%,限制大额申购,开放赎回
2017-09-06,1.0890,1.0890,0.00%,限制大额申购,开放赎回
2017-09-07,1.0870,1.0870,-0.18%,限制大额申购,开放赎回
2017-09-08,1.0890,1.0890,0.18%,限制大额申购,开放赎回
2017-09-11,1.0880,1.0880,-0.09%,限制大额申购,开放赎回
2017-09-12,1.0880,1.0880,0.00%,限制大额申购,开放赎回
2017-09-13,1.0900,1.0900,0.18%,限制大额申购,开放赎回
2017-09-14,1.0900,1.0900,0.00%,限制大额申购,开放赎回
2017-09-15,1.0910,1.0910,0.09%,限制大额申购,开放赎回
2017-09-18,1.0920,1.0920,0.09%,限制大额申购,开放赎回
2017-09-19,1.0910,1.0910,-0.09%,限制大额申购,开放赎回
2017-09-20,1.0920,1.0920,0.09%,限制大额申购,开放赎回
2017-09-21,1.0930,1.0930,0.09%,限制大额申购,开放赎回
2017-09-22,1.0960,1.0960,0.27%,限制大额申购,开放赎回
2017-09-25,1.0940,1.0940,-0.18%,限制大额申购,开放赎回
2017-09-26,1.0940,1.0940,0.00%,限制大额申购,开放赎回
2017-09-27,1.0950,1.0950,0.09%,限制大额申购,开放赎回
2017-09-28,1.0950,1.0950,0.00%,限制大额申购,开放赎回
2017-09-29,1.0970,1.0970,0.18%,限制大额申购,开放赎回
2017-10-09,1.1010,1.1010,0.36%,限制大额申购,开放赎回
2017-10-10,1.1020,1.1020,0.09%,限制大额申购,开放赎回
2017-10-11,1.1020,1.1020,0.00%,限制大额申购,开放赎回
2017-10-12,1.1030,1.1030,0.09%,限制大额申购,开放赎回
2017-10-13,1.1020,1.1020,-0.09%,限制大额申购,开放赎回
2017-10-16,1.1030,1.1030,0.09%,限制大额申购,开放赎回
2017-10-17,1.1030,1.1030,0.00%,限制大额申购,开放赎回
2017-10-18,1.1060,1.1060,0.27%,限制大额申购,开放赎回
2017-10-19,1.1040,1.1040,-0.18%,限制大额申购,开放赎回
2017-10-20,1.1040,1.1040,0.00%,限制大额申购,开放赎回
2017-10-23,1.1040,1.1040,0.00%,限制大额申购,开放赎回
2017-10-24,1.1060,1.1060,0.18%,限制大额申购,开放赎回
2017-10-25,1.1070,1.1070,0.09%,限制大额申购,开放赎回
2017-10-26,1.1090,1.1090,0.18%,限制大额申购,开放赎回
2017-10-27,1.1120,1.1120,0.27%,限制大额申购,开放赎回
2017-10-30,1.1130,1.1130,0.09%,限制大额申购,开放赎回
2017-10-31,1.1120,1.1120,-0.09%,限制大额申购,开放赎回
2017-11-01,1.1080,1.1080,-0.36%,限制大额申购,开放赎回
2017-11-02,1.1070,1.1070,-0.09%,限制大额申购,开放赎回
2017-11-03,1.1070,1.1070,0.00%,限制大额申购,开放赎回
2017-11-06,1.1090,1.1090,0.18%,限制大额申购,开放赎回
2017-11-07,1.1100,1.1100,0.09%,限制大额申购,开放赎回
2017-11-08,1.1100,1.1100,0.00%,限制大额申购,开放赎回
2017-11-09,1.1130,1.1130,0.27%,限制大额申购,开放赎回
